n_agents,n_arms,agent_to_arm_ratio,arms_per_agent,std,epsilon,seed,steps,group_total_reward,mean_agent_reward,collision_rate,reward_inequality
100,100,1.0,1,1.0,0.04,0,1000,512548.920672548,5125.4892067254805,1.0,817.8679456567082
100,100,1.0,1,1.0,0.04,1,1000,509136.681822883,5091.36681822883,1.0,798.685081485782
100,100,1.0,1,1.0,0.04,2,1000,507247.7892323235,5072.477892323235,1.0,852.7711529596783
100,100,1.0,1,1.0,0.04,3,1000,505673.3817520879,5056.733817520879,1.0,904.0991334454674
100,100,1.0,1,1.0,0.04,4,1000,509607.57483665406,5096.07574836654,1.0,821.7060485998142
100,100,1.0,1,1.0,0.04,5,1000,499528.55923974595,4995.285592397459,1.0,786.3586880049322
100,100,1.0,1,1.0,0.04,6,1000,507467.8148344328,5074.678148344328,1.0,787.062044936892
100,100,1.0,1,1.0,0.04,7,1000,502529.5320917139,5025.295320917139,1.0,729.4842199367248
100,100,1.0,1,1.0,0.04,8,1000,509373.05659399997,5093.73056594,1.0,914.837765984723
100,100,1.0,1,1.0,0.04,9,1000,507714.18815001764,5077.141881500176,1.0,863.4365335712495
100,100,1.0,1,1.0,0.04,10,1000,507968.8021054318,5079.688021054318,1.0,835.3199873650931
100,100,1.0,1,1.0,0.04,11,1000,506614.3373246492,5066.143373246492,1.0,786.3053208156442
100,100,1.0,1,1.0,0.04,12,1000,510192.6297281115,5101.926297281115,1.0,891.6176059269709
100,100,1.0,1,1.0,0.04,13,1000,509212.34717142454,5092.123471714245,1.0,828.0305237292516
100,100,1.0,1,1.0,0.04,14,1000,508614.25288921065,5086.142528892106,1.0,842.2058776622714
100,100,1.0,1,1.0,0.04,15,1000,501349.2392259144,5013.492392259144,1.0,830.6597044973806
100,100,1.0,1,1.0,0.04,16,1000,507301.30502760946,5073.013050276095,1.0,925.0301254882346
100,100,1.0,1,1.0,0.04,17,1000,503728.23756577686,5037.282375657768,1.0,784.6658468719212
100,100,1.0,1,1.0,0.04,18,1000,511329.7318406596,5113.297318406596,1.0,828.4458351302574
100,100,1.0,1,1.0,0.04,19,1000,501143.824157386,5011.43824157386,1.0,798.5863552103216
100,100,1.0,1,1.0,0.04,20,1000,508152.2178508965,5081.522178508964,1.0,874.9473570127241
100,100,1.0,1,1.0,0.04,21,1000,510710.6316344489,5107.106316344489,1.0,832.1329686003966
100,100,1.0,1,1.0,0.04,22,1000,510636.7842207465,5106.3678422074645,1.0,793.3611788768627
100,100,1.0,1,1.0,0.04,23,1000,508245.81045092345,5082.4581045092345,1.0,887.8725944982182
100,100,1.0,1,1.0,0.04,24,1000,510464.76552687766,5104.647655268776,1.0,891.4800391293884
100,100,1.0,1,1.0,0.04,25,1000,502114.87592280336,5021.148759228034,1.0,756.4906043000257
100,100,1.0,1,1.0,0.04,26,1000,503646.46736112976,5036.464673611297,1.0,933.6450017180889
100,100,1.0,1,1.0,0.04,27,1000,504765.4487234541,5047.654487234541,1.0,792.3014306699546
100,100,1.0,1,1.0,0.04,28,1000,509609.1909485886,5096.091909485886,1.0,875.1288632861995
100,100,1.0,1,1.0,0.04,29,1000,505697.7318768477,5056.977318768477,1.0,807.7650577471894
100,100,1.0,1,1.0,0.04,30,1000,509777.7407098909,5097.777407098909,1.0,874.0764266097857
100,100,1.0,1,1.0,0.04,31,1000,503551.2353185031,5035.512353185031,1.0,843.3109533035772
100,100,1.0,1,1.0,0.04,32,1000,509600.6712463217,5096.006712463217,1.0,871.7840070859058
100,100,1.0,1,1.0,0.04,33,1000,509364.15978314285,5093.641597831429,1.0,835.7475967976719
100,100,1.0,1,1.0,0.04,34,1000,505598.8833154479,5055.988833154479,1.0,828.5454377885601
100,100,1.0,1,1.0,0.04,35,1000,506487.4464540963,5064.874464540963,1.0,834.4124531851676
100,100,1.0,1,1.0,0.04,36,1000,503085.57107745705,5030.85571077457,1.0,850.1977117190809
100,100,1.0,1,1.0,0.04,37,1000,503409.21461542614,5034.092146154261,1.0,894.4574328867087
100,100,1.0,1,1.0,0.04,38,1000,514386.1851837018,5143.861851837018,1.0,854.8403346026355
100,100,1.0,1,1.0,0.04,39,1000,517590.9418004423,5175.909418004423,1.0,917.9723528654462
100,100,1.0,1,1.0,0.04,40,1000,509368.4150273622,5093.6841502736215,1.0,805.7903915709793
100,100,1.0,1,1.0,0.04,41,1000,504064.2365234887,5040.642365234887,1.0,932.9141890501926
100,100,1.0,1,1.0,0.04,42,1000,500745.2579348067,5007.452579348067,1.0,839.7816499743417
100,100,1.0,1,1.0,0.04,43,1000,502663.0255121007,5026.630255121007,1.0,897.9172885643201
100,100,1.0,1,1.0,0.04,44,1000,504512.4596693703,5045.124596693703,1.0,854.1394935366528
100,100,1.0,1,1.0,0.04,45,1000,506400.3737185867,5064.003737185867,1.0,943.3858388130421
100,100,1.0,1,1.0,0.04,46,1000,505581.8714524501,5055.818714524501,1.0,783.7712183947982
100,100,1.0,1,1.0,0.04,47,1000,511655.82939334784,5116.558293933478,1.0,888.7050503049493
100,100,1.0,1,1.0,0.04,48,1000,503482.3061506012,5034.823061506012,1.0,838.8304594329726
100,100,1.0,1,1.0,0.04,49,1000,503001.0547584184,5030.010547584184,1.0,835.0421923649833
100,100,1.0,1,1.0,0.05,0,1000,507384.33738496556,5073.843373849656,1.0,852.3019254586503
100,100,1.0,1,1.0,0.05,1,1000,509877.5018808714,5098.775018808714,1.0,852.9287411915182
100,100,1.0,1,1.0,0.05,2,1000,505699.86230971594,5056.998623097159,1.0,828.9813267531199
100,100,1.0,1,1.0,0.05,3,1000,509901.44021195016,5099.014402119502,1.0,763.7305676537252
100,100,1.0,1,1.0,0.05,4,1000,503293.2586915145,5032.932586915145,1.0,852.2752817991608
100,100,1.0,1,1.0,0.05,5,1000,504037.1872522153,5040.371872522152,1.0,801.8457534018271
100,100,1.0,1,1.0,0.05,6,1000,505821.37854664616,5058.213785466462,1.0,826.603468502285
100,100,1.0,1,1.0,0.05,7,1000,510079.93835836544,5100.799383583654,1.0,785.7301148027639
100,100,1.0,1,1.0,0.05,8,1000,504116.58483426395,5041.16584834264,1.0,719.0571584179494
100,100,1.0,1,1.0,0.05,9,1000,501774.2926819934,5017.742926819934,1.0,767.0604564591299
100,100,1.0,1,1.0,0.05,10,1000,512798.4911396884,5127.984911396884,1.0,815.6623782482842
100,100,1.0,1,1.0,0.05,11,1000,504234.594647514,5042.3459464751395,1.0,797.2221045254927
100,100,1.0,1,1.0,0.05,12,1000,503433.54004311,5034.3354004311,1.0,774.00478646512
100,100,1.0,1,1.0,0.05,13,1000,510197.99393181724,5101.979939318172,1.0,834.3362610792769
100,100,1.0,1,1.0,0.05,14,1000,506780.31122107845,5067.803112210784,1.0,787.7040686208134
100,100,1.0,1,1.0,0.05,15,1000,505786.2502732469,5057.862502732469,1.0,861.5369855391332
100,100,1.0,1,1.0,0.05,16,1000,508481.63761510665,5084.816376151067,1.0,822.3849290989177
100,100,1.0,1,1.0,0.05,17,1000,505345.7888796001,5053.4578887960015,1.0,815.0755174083322
100,100,1.0,1,1.0,0.05,18,1000,505642.67440119106,5056.426744011911,1.0,775.1166073593253
100,100,1.0,1,1.0,0.05,19,1000,506593.56594155997,5065.9356594156,1.0,836.5564222436296
100,100,1.0,1,1.0,0.05,20,1000,503528.97079108167,5035.289707910817,1.0,784.4557459102363
100,100,1.0,1,1.0,0.05,21,1000,510261.4043515279,5102.614043515279,1.0,813.8658904444557
100,100,1.0,1,1.0,0.05,22,1000,504978.77279956336,5049.787727995634,1.0,770.3915391602224
100,100,1.0,1,1.0,0.05,23,1000,508138.775481304,5081.3877548130395,1.0,818.6403578345465
100,100,1.0,1,1.0,0.05,24,1000,503924.4141774879,5039.244141774879,1.0,789.9217653572831
100,100,1.0,1,1.0,0.05,25,1000,507448.4977069123,5074.484977069123,1.0,893.3342902041684
