n_agents,n_arms,agent_to_arm_ratio,agents_per_arm,std,epsilon,seed,steps,group_total_reward,mean_agent_reward,collision_rate,reward_inequality
100,50,2.0,2,1.0,0.06,3,1000,106059.32277603587,1060.5932277603588,1.0,120.01690906149047
100,50,2.0,2,1.0,0.06,4,1000,106173.00631064722,1061.7300631064722,1.0,113.87711758891925
100,50,2.0,2,1.0,0.06,5,1000,105963.09589952363,1059.6309589952364,1.0,101.6275894549825
100,50,2.0,2,1.0,0.06,6,1000,106228.33828119011,1062.283382811901,1.0,117.65147528175508
100,50,2.0,2,1.0,0.06,7,1000,105444.97801549437,1054.4497801549437,1.0,104.80652231950964
100,50,2.0,2,1.0,0.06,8,1000,105761.55958101554,1057.6155958101554,1.0,127.71175616887666
100,50,2.0,2,1.0,0.06,9,1000,105852.16759697068,1058.5216759697068,1.0,120.47203954657691
100,50,2.0,2,1.0,0.06,10,1000,105490.65744351408,1054.9065744351408,1.0,111.09995759146828
100,50,2.0,2,1.0,0.06,11,1000,105826.36962186119,1058.2636962186118,1.0,128.89304886209837
100,50,2.0,2,1.0,0.06,12,1000,105349.7495659117,1053.497495659117,1.0,100.63199016345396
