collision_policy,degradation_strength,n_agents,n_arms,agent_to_arm_ratio,arms_per_agent,std,epsilon,seed,steps,group_total_reward,mean_agent_reward,collision_rate,reward_inequality
degradation,0.5,100,100,1.0,1,1.0,0.04,48,1000,452520.96563422633,4525.209656342264,1.0,1370.1623628068423
degradation,0.5,100,100,1.0,1,1.0,0.04,49,1000,447719.9595539629,4477.19959553963,1.0,1247.5054456543116
degradation,0.5,100,100,1.0,1,1.0,0.05,0,1000,451287.2281223972,4512.872281223972,1.0,1364.1364291973669
degradation,0.5,100,100,1.0,1,1.0,0.05,1,1000,450572.2961972854,4505.722961972854,1.0,1287.0922102512545
degradation,0.5,100,100,1.0,1,1.0,0.05,2,1000,451159.3976096845,4511.593976096845,1.0,1291.797234305668
degradation,0.5,100,100,1.0,1,1.0,0.05,3,1000,450174.2011569565,4501.742011569565,1.0,1335.375750446017
degradation,0.5,100,100,1.0,1,1.0,0.05,4,1000,451391.1480505109,4513.9114805051095,1.0,1266.141331240414
degradation,0.5,100,100,1.0,1,1.0,0.05,5,1000,438092.30657351593,4380.923065735159,1.0,1176.6649128994086
degradation,0.5,100,100,1.0,1,1.0,0.05,6,1000,448566.96283521305,4485.6696283521305,1.0,1323.4120963089727
degradation,0.5,100,100,1.0,1,1.0,0.05,7,1000,439903.59376111743,4399.035937611175,1.0,1225.9558605908326
degradation,0.5,100,100,1.0,1,1.0,0.05,8,1000,448102.585736042,4481.02585736042,1.0,1319.3371272178906
degradation,0.5,100,100,1.0,1,1.0,0.05,9,1000,442291.1443402754,4422.911443402754,1.0,1225.5815667143247
degradation,0.5,100,100,1.0,1,1.0,0.05,10,1000,448360.94185608847,4483.6094185608845,1.0,1278.887129363549
degradation,0.5,100,100,1.0,1,1.0,0.05,11,1000,443816.7848424161,4438.167848424161,1.0,1208.6090351292926
degradation,0.5,100,100,1.0,1,1.0,0.05,12,1000,446120.6508307286,4461.206508307286,1.0,1291.6265398371277
degradation,0.5,100,100,1.0,1,1.0,0.05,13,1000,450122.1308819585,4501.221308819585,1.0,1255.1094751872793
degradation,0.5,100,100,1.0,1,1.0,0.05,14,1000,448449.04836612014,4484.490483661201,1.0,1284.5263324702255
degradation,0.5,100,100,1.0,1,1.0,0.05,15,1000,446683.17158583313,4466.831715858331,1.0,1299.1439240789782
degradation,0.5,100,100,1.0,1,1.0,0.05,16,1000,443286.8944815912,4432.868944815912,1.0,1290.3893407118915
degradation,0.5,100,100,1.0,1,1.0,0.05,17,1000,437292.5669481925,4372.925669481925,1.0,1211.8757666000583
degradation,0.5,100,100,1.0,1,1.0,0.05,18,1000,447080.6491720528,4470.806491720528,1.0,1322.405704220492
degradation,0.5,100,100,1.0,1,1.0,0.05,19,1000,446610.2788057122,4466.102788057122,1.0,1313.5346022510787
degradation,0.5,100,100,1.0,1,1.0,0.05,20,1000,449581.4351702387,4495.814351702387,1.0,1331.5853547394888
degradation,0.5,100,100,1.0,1,1.0,0.05,21,1000,450662.5267541826,4506.625267541825,1.0,1324.5972995835411
degradation,0.5,100,100,1.0,1,1.0,0.05,22,1000,458855.8012825918,4588.558012825918,1.0,1349.1092912807542
degradation,0.5,100,100,1.0,1,1.0,0.05,23,1000,455119.52592294256,4551.195259229426,1.0,1379.3702805460407
degradation,0.5,100,100,1.0,1,1.0,0.05,24,1000,447985.84564350575,4479.858456435058,1.0,1334.5571974089873
degradation,0.5,100,100,1.0,1,1.0,0.05,25,1000,450552.4712303982,4505.524712303983,1.0,1329.417608575015
