n_agents,n_arms,std,epsilon,seed,steps,group_total_reward,mean_agent_reward,collision_rate,reward_inequality
1,3,0.5,0.2,28,1000,1911.935854805356,1911.935854805356,0.0,0.0
1,3,0.5,0.2,29,1000,1943.494665057105,1943.494665057105,0.0,0.0
1,3,0.5,0.2,30,1000,1863.5295659458047,1863.5295659458047,0.0,0.0
1,3,0.5,0.2,31,1000,1895.8578572454398,1895.8578572454398,0.0,0.0
1,3,0.5,0.2,32,1000,1880.0335787454298,1880.0335787454298,0.0,0.0
1,3,0.5,0.2,33,1000,1928.2560437142652,1928.2560437142652,0.0,0.0
1,3,0.5,0.2,34,1000,1882.8150697294882,1882.8150697294882,0.0,0.0
1,3,0.5,0.2,35,1000,1877.975773172098,1877.975773172098,0.0,0.0
1,3,0.5,0.2,36,1000,1862.3353998965588,1862.3353998965588,0.0,0.0
1,3,0.5,0.2,37,1000,1925.3641085113125,1925.3641085113125,0.0,0.0
1,3,0.5,0.2,38,1000,1880.4299051732994,1880.4299051732994,0.0,0.0
1,3,0.5,0.2,39,1000,1865.0303463322484,1865.0303463322484,0.0,0.0
1,3,0.5,0.2,40,1000,1868.2629774429306,1868.2629774429306,0.0,0.0
1,3,0.5,0.2,41,1000,1886.3967505365242,1886.3967505365242,0.0,0.0
1,3,0.5,0.2,42,1000,1891.1806617227412,1891.1806617227412,0.0,0.0
1,3,0.5,0.2,43,1000,1892.2169186924905,1892.2169186924905,0.0,0.0
1,3,0.5,0.2,44,1000,1871.1989356655026,1871.1989356655026,0.0,0.0
1,3,0.5,0.2,45,1000,1905.614235198443,1905.614235198443,0.0,0.0
1,3,0.5,0.2,46,1000,1905.9236945078114,1905.9236945078114,0.0,0.0
1,3,0.5,0.2,47,1000,1898.839618040079,1898.839618040079,0.0,0.0
1,3,0.5,0.2,48,1000,1889.0483797628076,1889.0483797628076,0.0,0.0
1,3,0.5,0.2,49,1000,1865.3560232034802,1865.3560232034802,0.0,0.0
1,3,0.5,0.3,0,1000,1837.3459651682697,1837.3459651682697,0.0,0.0
1,3,0.5,0.3,1,1000,1837.9045812255126,1837.9045812255126,0.0,0.0
1,3,0.5,0.3,2,1000,1799.435211099898,1799.435211099898,0.0,0.0
1,3,0.5,0.3,3,1000,1852.7768909459228,1852.7768909459228,0.0,0.0
1,3,0.5,0.3,4,1000,1824.999840545301,1824.999840545301,0.0,0.0
1,3,0.5,0.3,5,1000,1854.4132718032836,1854.4132718032836,0.0,0.0
1,3,0.5,0.3,6,1000,1815.6094304774379,1815.6094304774379,0.0,0.0
1,3,0.5,0.3,7,1000,1838.7581662679813,1838.7581662679813,0.0,0.0
1,3,0.5,0.3,8,1000,1819.8225842420347,1819.8225842420347,0.0,0.0
1,3,0.5,0.3,9,1000,1831.4862412664013,1831.4862412664013,0.0,0.0
1,3,0.5,0.3,10,1000,1823.2346186973227,1823.2346186973227,0.0,0.0
1,3,0.5,0.3,11,1000,1845.780840226404,1845.780840226404,0.0,0.0
1,3,0.5,0.3,12,1000,1826.8779094880535,1826.8779094880535,0.0,0.0
1,3,0.5,0.3,13,1000,1865.171167097311,1865.171167097311,0.0,0.0
1,3,0.5,0.3,14,1000,1861.6988890449095,1861.6988890449095,0.0,0.0
1,3,0.5,0.3,15,1000,1853.6720892610767,1853.6720892610767,0.0,0.0
1,3,0.5,0.3,16,1000,1821.674995760117,1821.674995760117,0.0,0.0
1,3,0.5,0.3,17,1000,1837.9329126420198,1837.9329126420198,0.0,0.0
1,3,0.5,0.3,18,1000,1804.5966354595027,1804.5966354595027,0.0,0.0
1,3,0.5,0.3,19,1000,1856.4203801782312,1856.4203801782312,0.0,0.0
1,3,0.5,0.3,20,1000,1837.3544408039718,1837.3544408039718,0.0,0.0
1,3,0.5,0.3,21,1000,1811.531411386974,1811.531411386974,0.0,0.0
1,3,0.5,0.3,22,1000,1848.945283469857,1848.945283469857,0.0,0.0
1,3,0.5,0.3,23,1000,1806.6192824361613,1806.6192824361613,0.0,0.0
1,3,0.5,0.3,24,1000,1862.6788114915464,1862.6788114915464,0.0,0.0
1,3,0.5,0.3,25,1000,1868.5687128711327,1868.5687128711327,0.0,0.0
1,3,0.5,0.3,26,1000,1839.511515674752,1839.511515674752,0.0,0.0
1,3,0.5,0.3,27,1000,1800.1840903551513,1800.1840903551513,0.0,0.0
1,3,0.5,0.3,28,1000,1839.3354399138475,1839.3354399138475,0.0,0.0
1,3,0.5,0.3,29,1000,1855.5637117634906,1855.5637117634906,0.0,0.0
1,3,0.5,0.3,30,1000,1850.282272207434,1850.282272207434,0.0,0.0
1,3,0.5,0.3,31,1000,1864.4746561529334,1864.4746561529334,0.0,0.0
1,3,0.5,0.3,32,1000,1858.9062308087302,1858.9062308087302,0.0,0.0
1,3,0.5,0.3,33,1000,1838.3340984028239,1838.3340984028239,0.0,0.0
1,3,0.5,0.3,34,1000,1829.9451951206224,1829.9451951206224,0.0,0.0
1,3,0.5,0.3,35,1000,1833.7345091690368,1833.7345091690368,0.0,0.0
1,3,0.5,0.3,36,1000,1822.254742771872,1822.254742771872,0.0,0.0
1,3,0.5,0.3,37,1000,1850.4531131870433,1850.4531131870433,0.0,0.0
1,3,0.5,0.3,38,1000,1875.640763895464,1875.640763895464,0.0,0.0
1,3,0.5,0.3,39,1000,1862.2738571493462,1862.2738571493462,0.0,0.0
1,3,0.5,0.3,40,1000,1835.8551158964985,1835.8551158964985,0.0,0.0
1,3,0.5,0.3,41,1000,1877.7553125293969,1877.7553125293969,0.0,0.0
1,3,0.5,0.3,42,1000,1835.150255445408,1835.150255445408,0.0,0.0
1,3,0.5,0.3,43,1000,1821.4798399496472,1821.4798399496472,0.0,0.0
1,3,0.5,0.3,44,1000,1833.4456582425748,1833.4456582425748,0.0,0.0
1,3,0.5,0.3,45,1000,1847.7129083849302,1847.7129083849302,0.0,0.0
1,3,0.5,0.3,46,1000,1826.5716795171388,1826.5716795171388,0.0,0.0
1,3,0.5,0.3,47,1000,1843.4758679461604,1843.4758679461604,0.0,0.0
1,3,0.5,0.3,48,1000,1809.3119934618912,1809.3119934618912,0.0,0.0
1,3,0.5,0.3,49,1000,1817.1222163643265,1817.1222163643265,0.0,0.0
2,3,0.5,0.0,0,1000,998.523647769759,499.2618238848795,1.0,0.0
2,3,0.5,0.0,1,1000,1013.2375788335353,506.61878941676764,1.0,0.0
2,3,0.5,0.0,2,1000,1000.4094853937604,500.2047426968802,1.0,0.0
2,3,0.5,0.0,3,1000,990.978836709036,495.489418354518,1.0,0.0
2,3,0.5,0.0,4,1000,1005.1648146909694,502.5824073454847,1.0,0.0
2,3,0.5,0.0,5,1000,990.9451954754304,495.4725977377152,1.0,0.0
2,3,0.5,0.0,6,1000,1018.6698369520649,509.33491847603244,1.0,0.0
2,3,0.5,0.0,7,1000,988.1154405791885,494.0577202895943,1.0,0.0
2,3,0.5,0.0,8,1000,990.5020709461492,495.2510354730746,1.0,0.0
2,3,0.5,0.0,9,1000,985.7712928868028,492.8856464434014,1.0,0.0
2,3,0.5,0.0,10,1000,972.8609279973825,486.43046399869127,1.0,0.0
2,3,0.5,0.0,11,1000,1015.9134168894727,507.95670844473636,1.0,0.0
2,3,0.5,0.0,12,1000,1004.1868178227572,502.0934089113786,1.0,0.0
2,3,0.5,0.0,13,1000,973.7026385537189,486.85131927685944,1.0,0.0
2,3,0.5,0.0,14,1000,975.3420895407777,487.67104477038885,1.0,0.0
2,3,0.5,0.0,15,1000,1003.8616563752753,501.93082818763764,1.0,0.0
2,3,0.5,0.0,16,1000,1011.1793641264837,505.58968206324187,1.0,0.0
2,3,0.5,0.0,17,1000,1017.6161924129113,508.8080962064557,1.0,0.0
2,3,0.5,0.0,18,1000,1015.0694798935796,507.5347399467898,1.0,0.0
2,3,0.5,0.0,19,1000,995.4618334346764,497.7309167173382,1.0,0.0
