n_agents,n_arms,epsilon,seed,steps,group_total_reward,mean_agent_reward,collision_rate,reward_inequality
2,3,0.2,41,1000,3135.3787792313424,1567.6893896156712,0.137,207.85791034734814
2,3,0.2,42,1000,3251.4829431611115,1625.7414715805558,0.109,232.29549811567188
2,3,0.2,43,1000,3154.75087983352,1577.37543991676,0.135,200.12920062360809
2,3,0.2,44,1000,3173.7717266497443,1586.8858633248722,0.132,186.0449765073879
2,3,0.2,45,1000,3164.277242050609,1582.1386210253045,0.128,236.44328900508663
2,3,0.2,46,1000,3240.7042213908726,1620.3521106954363,0.123,186.4765840919805
2,3,0.2,47,1000,3155.859837961052,1577.929918980526,0.142,215.360603207277
2,3,0.2,48,1000,3102.742237164244,1551.371118582122,0.142,192.03256932634088
2,3,0.2,49,1000,3090.827945897762,1545.413972948881,0.11,154.84799413731696
2,3,0.3,0,1000,2805.1833097578897,1402.5916548789448,0.333,101.11628825669982
2,3,0.3,1,1000,3030.685111001121,1515.3425555005606,0.178,147.47548313758625
2,3,0.3,2,1000,3033.7994638059026,1516.8997319029513,0.195,171.74443015194163
2,3,0.3,3,1000,3112.188759768753,1556.0943798843764,0.158,161.66932080530773
2,3,0.3,4,1000,2961.1236241827028,1480.5618120913514,0.286,160.3846097116117
2,3,0.3,5,1000,3035.847616975291,1517.9238084876456,0.205,174.96203078071926
2,3,0.3,6,1000,3052.7101705782993,1526.3550852891497,0.184,141.00230351125788
2,3,0.3,7,1000,2977.262700250785,1488.6313501253926,0.23,130.03613922105842
2,3,0.3,8,1000,2966.8532272743423,1483.4266136371712,0.204,160.7863682209894
2,3,0.3,9,1000,3023.796599606065,1511.8982998030324,0.216,133.06323776202214
2,3,0.3,10,1000,3040.8964023092617,1520.4482011546309,0.183,162.54910321827788
2,3,0.3,11,1000,3032.494427041709,1516.2472135208545,0.194,124.39029133104293
2,3,0.3,12,1000,3013.625126378309,1506.8125631891544,0.165,181.63642523637702
2,3,0.3,13,1000,3068.97776749869,1534.488883749345,0.161,148.4343560176568
2,3,0.3,14,1000,3101.1602869381522,1550.5801434690761,0.177,151.91013550748733
2,3,0.3,15,1000,3134.18703207636,1567.09351603818,0.166,163.05118060451935
2,3,0.3,16,1000,3065.514464942986,1532.757232471493,0.176,174.36118400154817
2,3,0.3,17,1000,2927.6246119196585,1463.8123059598292,0.24,152.48606363970327
2,3,0.3,18,1000,3076.8320220617716,1538.4160110308858,0.177,187.2230434230206
2,3,0.3,19,1000,2804.8453842474228,1402.4226921237114,0.314,123.27951060252678
2,3,0.3,20,1000,3043.706407784902,1521.853203892451,0.176,143.0971043557446
2,3,0.3,21,1000,3108.585278384922,1554.292639192461,0.167,130.3585774554599
2,3,0.3,22,1000,2930.6909207419912,1465.3454603709956,0.277,139.07455764954682
2,3,0.3,23,1000,3054.5237542740188,1527.2618771370094,0.183,146.51103665391213
2,3,0.3,24,1000,3075.5780022578165,1537.7890011289082,0.158,152.69340158627244
2,3,0.3,25,1000,3056.262896122803,1528.1314480614014,0.192,165.52300372176876
2,3,0.3,26,1000,3066.8111158892593,1533.4055579446297,0.18,180.2328699528873
2,3,0.3,27,1000,2843.605990676522,1421.802995338261,0.316,66.8575750887494
2,3,0.3,28,1000,3022.0449830848493,1511.0224915424246,0.186,175.64174977131358
2,3,0.3,29,1000,3146.151796135453,1573.0758980677265,0.161,147.7596608628487
2,3,0.3,30,1000,3139.5985898078156,1569.7992949039078,0.161,164.3677080172804
2,3,0.3,31,1000,2675.8215567663815,1337.9107783831907,0.443,59.84603530493041
2,3,0.3,32,1000,3109.4030772747333,1554.7015386373666,0.178,173.91256827407142
2,3,0.3,33,1000,3086.2796981640377,1543.1398490820188,0.165,183.00987590727152
2,3,0.3,34,1000,3062.7634449558905,1531.3817224779452,0.178,164.4319179855056
2,3,0.3,35,1000,2932.636217894269,1466.3181089471345,0.297,99.10616387328321
2,3,0.3,36,1000,2781.0450757630456,1390.5225378815228,0.311,93.47870159000286
2,3,0.3,37,1000,3088.3298362872256,1544.1649181436128,0.188,159.96179315157826
2,3,0.3,38,1000,3089.5877642241985,1544.7938821120993,0.16,212.32987644433626
2,3,0.3,39,1000,3031.4572963827727,1515.7286481913864,0.206,198.80411764814676
2,3,0.3,40,1000,3046.6400067288682,1523.3200033644341,0.164,157.07800091482818
2,3,0.3,41,1000,3002.6109048678254,1501.3054524339127,0.241,141.15755534814525
2,3,0.3,42,1000,3056.440889981954,1528.220444990977,0.176,145.9283196111769
2,3,0.3,43,1000,3020.9309085775203,1510.4654542887602,0.162,189.69550879280712
