collision_policy,n_agents,n_arms,agent_to_arm_ratio,agents_per_arm,std,epsilon,seed,steps,group_total_reward,mean_agent_reward,collision_rate,reward_inequality
full_value,100,50,2.0,2,1.0,0.05,14,1000,392573.71475744667,3925.7371475744667,1.0,226.34351145702718
full_value,100,50,2.0,2,1.0,0.05,15,1000,383578.5760234231,3835.785760234231,1.0,256.31162072340044
full_value,100,50,2.0,2,1.0,0.05,16,1000,390808.7820403682,3908.0878204036817,1.0,250.06236132451602
full_value,100,50,2.0,2,1.0,0.05,17,1000,386094.02688318765,3860.9402688318764,1.0,214.01719725463016
full_value,100,50,2.0,2,1.0,0.05,18,1000,387577.1850543136,3875.771850543136,1.0,221.04118558019735
full_value,100,50,2.0,2,1.0,0.05,19,1000,381822.38338751195,3818.2238338751195,1.0,241.59152185095067
full_value,100,50,2.0,2,1.0,0.05,20,1000,387737.7747515497,3877.377747515497,1.0,233.07057700442286
full_value,100,50,2.0,2,1.0,0.05,21,1000,386007.2022763728,3860.072022763728,1.0,257.14471592918625
full_value,100,50,2.0,2,1.0,0.05,22,1000,386985.675265728,3869.8567526572797,1.0,212.47395043280002
full_value,100,50,2.0,2,1.0,0.05,23,1000,385535.61852484726,3855.3561852484727,1.0,213.90511170873336
full_value,100,50,2.0,2,1.0,0.05,24,1000,381923.9442248078,3819.239442248078,1.0,254.07706888146743
full_value,100,50,2.0,2,1.0,0.05,25,1000,390451.5249602829,3904.515249602829,1.0,232.6604498502065
full_value,100,50,2.0,2,1.0,0.05,26,1000,385932.6889381234,3859.326889381234,1.0,224.42159439108508
full_value,100,50,2.0,2,1.0,0.05,27,1000,385771.6823121775,3857.7168231217747,1.0,241.59264756738398
full_value,100,50,2.0,2,1.0,0.05,28,1000,390422.92999808444,3904.229299980844,1.0,239.30735406762184
full_value,100,50,2.0,2,1.0,0.05,29,1000,385907.4245754406,3859.0742457544056,1.0,249.07925069380246
full_value,100,50,2.0,2,1.0,0.05,30,1000,387674.58554990834,3876.7458554990835,1.0,212.5399099323568
full_value,100,50,2.0,2,1.0,0.05,31,1000,384018.50643853366,3840.185064385337,1.0,237.5096786358343
full_value,100,50,2.0,2,1.0,0.05,32,1000,390215.08394460555,3902.1508394460557,1.0,205.82830804245626
full_value,100,50,2.0,2,1.0,0.05,33,1000,382800.94452560093,3828.0094452560093,1.0,244.34765998544088
full_value,100,50,2.0,2,1.0,0.05,34,1000,387771.4241054841,3877.714241054841,1.0,225.11721774316555
full_value,100,50,2.0,2,1.0,0.05,35,1000,387841.7555180271,3878.417555180271,1.0,244.07783703831623
full_value,100,50,2.0,2,1.0,0.05,36,1000,389666.67410721007,3896.6667410721006,1.0,195.6291582656855
full_value,100,50,2.0,2,1.0,0.05,37,1000,383743.7912148844,3837.4379121488437,1.0,231.52159171679895
full_value,100,50,2.0,2,1.0,0.05,38,1000,384220.61797843996,3842.2061797843994,1.0,211.334536548505
full_value,100,50,2.0,2,1.0,0.05,39,1000,388995.99308349023,3889.9599308349025,1.0,204.22244455314285
full_value,100,50,2.0,2,1.0,0.05,40,1000,386087.2652341844,3860.872652341844,1.0,218.44734422036146
full_value,100,50,2.0,2,1.0,0.05,41,1000,383150.060373633,3831.50060373633,1.0,224.81270350165425
full_value,100,50,2.0,2,1.0,0.05,42,1000,385573.07906773174,3855.7307906773176,1.0,252.84958110070647
full_value,100,50,2.0,2,1.0,0.05,43,1000,385047.3280939115,3850.4732809391153,1.0,198.51862415500747
full_value,100,50,2.0,2,1.0,0.05,44,1000,385784.6369676684,3857.8463696766844,1.0,238.26135954770203
